"Rèn luyện những thói quen tốt cho học sinh","SC","","","Văn Hóa Thông Tin","2008","139tr; 20.5cm","","R203L","Tiếng Việt","H","ddc370.11","Rèn luyện những thói quen tốt trong đời sống; sinh hoạt; giao tiếp; học tập,...cho học sinh","","","<Trần Mênh Mông>","<Giáo dục>","<D.3163.TK><M.3161.TK><M.3162.TK>"
"Nề nếp Gia phong","SC","","","Thanh Niên","2008","179tr; 19cm","","N254N","Tiếng Việt","Tp.HCM","ddc392.597","Giáo dục đạo đức, lối sống trong gia đình","","","<Phạm Côn Sơn>","<Văn hóa học>","<D.3165.TK><M.3164.TK>"
"Kinh tế và xã hội Việt Nam dưới các Vua Triều Nguyễn","SC","","","Văn học","2008","301tr; 20.5cm","","K312T","Tiếng Việt","Tp.HCM","kk959.702 9","Tập hợp các khía cạnh về đời sống kinh tế xã hội Việt Nam dưới các Vua triều Nguyễn","","","<Nguyễn Thế Anh>","<Lịch sử>","<D.3168.TK><M.3166.TK><M.3167.TK>"
"Ca dao Việt Nam về phong cảnh đất nước con người","SC","","","Thanh Niên","2008","139tr; 19cm","","C100D","Tiếng Việt","H","ddc398.859 7","Tuyển chọn các bài ca dao về phong cảnh đất nước con người Việt Nam","","","<Lan Hương>","<Văn hóa dân gian>","<D.3170.TK><M.3169.TK>"
"Tìm hiểu thế giớ động vật dưới góc độ ngôn ngữ -văn hóa dân gian người Việt : (Qua dẫn liệu vùng Thừa Thiên Huế)","SC","tái bản lần thứ nhất","","Thuận Hoá","2008","158tr; 20.5cm","","T310H","Tiếng Việt","TP.Huế","ddc398.245 97","Nghiên cức về các loài động vật dưới góc độ ngôn ngữ và văn hóa dân gian Việt Nam","","","<Triều Nguyên>","<Văn hóa dân gian>","<D.3174.TK><M.3171.TK><M.3172.TK><M.3173.TK><C.3175.TK>"
"Phong trào kháng thuế ở miền Trung năm 1908 qua các Châu bản triều Duy Tân","SC","","","Văn học","2008","20.5cm","","PH431TR","Tiếng Việt","H","kk959.703","Tóm tắt các phong trào kháng thuế ở miền trung qua các Châu bản Triều Duy Tân","","","<Nguyễn Thế Anh>","<Lịch sử>","<D.3177.TK><M.3176.TK><C.3178.TK>"
"Marketing trong thời đại Net : Từ ý tưởng Permission của Seth Godin- Phó tổng giám đốc Marketing Yahoo!","SC","","","Lao Động Xã Hội","2008","167tr; 20.5cm","","M100R","Tiếng Việt","H","ddc381","Tổng hợp,đưa ra những khái niệm mới, phương pháp, kỹ thuật Marketing trong thời đại Internet phát triển mạnh mẽ","","","<Thái Hùng Tâm>","<KInh tế ; Marketing>","<D.3182.TK><M.3179.TK><M.3180.TK><M.3181.TK><C.3183.TK>"
"Nghiên cứu văn bản tiểu thuyết Giông tố","SC","","","Tri Thức","2007","703tr; 20.5cm","","NGH305C","Tiếng Việt","H","ii895.922 3","Nghiên cứu,đánh giá ,phê bình, theo dõi việc khảo dị và hiểu chỉnh văn bản tiểu thuyết Giông tố","","","<Lại Nguyên Ân>","<Văn học>","<D.3185.TK><M.3184.TK>"
"Đồng dao người Việt : Tuyển chọn, bình giải","SC","","","Thuận Hoá","2008","315tr; 20.5cm","","","Tiếng Việt","TP.Huế","ddc398.859 7","Tuyển chọn các bài đồng dao lứa tuổi Nhi đồng,Thanh niên và các bài hát thể hiện tình cảm, quan niệm","","","<Triều Nguyên>","<Văn học dân gian>","<D.3189.TK><M.3186.TK><M.3187.TK><M.3188.TK><C.3190.TK>"
"Photoshop CS3 Pro Xử lý và ứng dụng hiệu ứng ảnh số chuyên nghiệp nhất","SC","","","Thanh Hóa","2008","238tr; 24cm","","PH400T","Tiếng Việt","TP.Thanh Hóa","aa006.6","Giới thiệu ccá kỹ thuật xử lý ảnh số chuyên nghiệp và áp dụng các hiệu ứng thực cho ảnh","","","<Trương Hoàng Vỹ><Đức Hùng>","<Tin học>","<D.3192.TK><M.3191.TK><C.3193.TK>"
