Ma sach,Ma hoa,Loai sach,Ma ton kho,Ngay nhan,Nha cung cap,So thu tu,"Vi tri 
(phong doc, phong muon, ..)",Ngay dat,Trang thai sach,Vi tri de sach,Nguon,Hoa don,Gia tien,Loai ngoai te,Ngay giao,Ngay nhap,Ngay cap nhat
M.10037.TK,S450T,Sách tham khảo,,,,,PM,,,,1,,,,,2014-02-14 09:28:03,2014-02-14 09:28:03
M.10038.TK,S450T,Sách tham khảo,,,,,PM,,,,1,,,,,2014-02-14 09:28:03,2014-02-14 09:28:03
C.10039.TK,S450T,Sách tham khảo,,,,,CS3,,,,1,,,,,2014-02-14 09:28:03,2014-02-14 09:28:03
C.10040.TK,S450T,Sách tham khảo,,,,,CS3,,,,1,,,,,2014-02-14 09:28:03,2014-02-14 09:28:03
D.10041.TK,S450T,Sách tham khảo,,,,,PD,,Mượn đọc,,1,,,,,2014-02-14 09:28:03,2014-02-14 09:28:03
M.10042.TK,GI108T,Sách tham khảo,,,,,PM,,,,1,,,,,2014-02-14 09:28:03,2014-02-14 09:28:03
M.10043.TK,GI108T,Sách tham khảo,,,,,PM,,,,1,,,,,2014-02-14 09:28:03,2014-02-14 09:28:03
C.10044.TK,GI108T,Sách tham khảo,,,,,CS3,,,,1,,,,,2014-02-14 09:28:03,2014-02-14 09:28:03
